Hackathon ID,Hackathon Slug,Project Title,Project Description,Project Link,Participants Count,Likes,Comments
24504,milpitas-hacks-2,YouTruth,"How are videos on platforms like Youtube fact-checked right now? The answer to the question is that they aren't. However, YouTruth allows BILLIONS of users to fact-check videos for themselves.",https://devpost.com/software/youtruth,3,0,0
24504,milpitas-hacks-2,SimplyNourished,Hi,https://devpost.com/software/simplynourished,1,0,0
24504,milpitas-hacks-2,FocusFuel,Make learning fun again!,https://devpost.com/software/focusfuel,1,0,0
24504,milpitas-hacks-2,Haven: The Emergency Chatbot,"Haven is an AI-powered safety app that gives fast, clear emergency instructions, auto-alerts local authorities with your location, and hides with one tap.",https://devpost.com/software/haven-the-emergency,2,0,0
24504,milpitas-hacks-2,rippleXP,"Small Actions, Big Changes",https://devpost.com/software/ripplexp,3,1,0
24504,milpitas-hacks-2,PathStep,"Our goal is to help struggling youth, but specifically students, find real job opportunities that fit their needs in a flexible way that makes job hunting feel like a game.",https://devpost.com/software/pathstep,1,0,0
24504,milpitas-hacks-2,Give and Grow,Connect. Cultivate. Care,https://devpost.com/software/give-and-grow,3,0,0
24504,milpitas-hacks-2,Lock Saver,#saveteens,https://devpost.com/software/lock-saver,3,0,0
24504,milpitas-hacks-2,MedId,"MedId (Medical Identification) revolutionizes modern technology, using AI to help people in need. MedId analyzes symptoms from a user input, tells the user how to treat them and how serious it may be.",https://devpost.com/software/medid-1m0gef,2,1,0
24504,milpitas-hacks-2,SmartDeploy,Our solution for better unified command over first responders. Unified Command Saving Lives.,https://devpost.com/software/smartdeploy,4,0,0
24504,milpitas-hacks-2,Access Maps,"A community-powered campus map for identifying and discussing accessibility challenges and successes, from broken ramps to accessible elevators. It is for the community, from the community.",https://devpost.com/software/access-maps,3,2,0
24504,milpitas-hacks-2,SafetyNet - Tech That Protects,"SafetyNet–a helpful tool that when in need, and when in danger, comes in clutch by telling you exactly what you need to withstand any disaster that may come your way.",https://devpost.com/software/safetynet-tech-that-protects,4,0,0
24504,milpitas-hacks-2,FlashAid,"Your AI powered assistant for creating tailored emergency preparedness plans. Be prepared, instantly.",https://devpost.com/software/flashaid,4,2,0
24504,milpitas-hacks-2,Revita,Too lazy to correctly throw trash once you walk to the trash can? Revita provides a fun and sustainable way for teenagers and the elderly to make correctly throwing trash a fun process.,https://devpost.com/software/revita-9f5s0v,3,0,0
24504,milpitas-hacks-2,Ayutra,AI with Lung-term Impact.,https://devpost.com/software/ayutra,2,0,0
24504,milpitas-hacks-2,Panic Hero,Turn Crisis Into Confidence,https://devpost.com/software/panic-hero,4,2,0
24504,milpitas-hacks-2,Peitho,Debate your political positions with artificially generated personas.,https://devpost.com/software/peitho,3,1,0
24504,milpitas-hacks-2,Safe Steps,Find safe walking routes in San Francisco.,https://devpost.com/software/safe-steps-h9vtnf,1,0,0
24504,milpitas-hacks-2,RescView,"Artificial-Intelligence power tool for finding people trapped within debris, in both images and videos.",https://devpost.com/software/rescview,4,0,0
24504,milpitas-hacks-2,OpenRadioStudy,Empowering communication when it counts.,https://devpost.com/software/openradiostudy,1,0,0
24504,milpitas-hacks-2,webOS,"A powerful, anonymous, browser-based AI Operating System all in one seamless virtual desktop",https://devpost.com/software/webos-d1lf2v,2,1,0
24504,milpitas-hacks-2,Husky’s Legacy Arena,A Modern Ticketing System for a Modern School.,https://devpost.com/software/husky-s-legacy-arena-2q7zlj,1,0,0
24228,ridgehacks-2025,GridLocked,The innovative power grid simulation to optimize the aging US energy system!,https://devpost.com/software/gridlocked,3,3,0
24228,ridgehacks-2025,BagFinder,Track down lost bags in seconds,https://devpost.com/software/bagfinder,1,2,0
24228,ridgehacks-2025,DaWaze - The Routing Game,A fun game to challenge your navigational and routing skills while seeing the roads of the world!,https://devpost.com/software/dawaze-the-routing-game,1,2,0
24228,ridgehacks-2025,Galactic Express,Futuristic prime delivery for when humanity is living in space.,https://devpost.com/software/galactic-express,4,2,0
24228,ridgehacks-2025,Routing Ridge,"This is a ""google maps"" for Ridge High School. The user can input any two points on a map of Ridge High School, and ""Routing Ridge"" will output the shortest path between the two points.",https://devpost.com/software/routing-ridge,4,1,0
24228,ridgehacks-2025,Routify,Take the route of safety.,https://devpost.com/software/routify-womqgh,4,5,0
24228,ridgehacks-2025,Medigo,"MediGo assist immobile and patients like the elderly to access critical health goods making medicine mobile and accessible focusing on, last mile delivery",https://devpost.com/software/medigo-j76pfw,1,0,0
24228,ridgehacks-2025,LogMap,"LogMap 3.0 ingests six days of real AIS data, filters to your region, builds a graph of vessel movements, simulates “what-if” climate scenarios, makes new routes, and more. Read the README please.",https://devpost.com/software/logmap,1,0,0
24228,ridgehacks-2025,Escape the Past,"Race Through Time by Mastering Transportation Trivia!""",https://devpost.com/software/escape-the-past,2,0,0
24228,ridgehacks-2025,Carpool Application,Save time. Save energy. Carpool. Kachow!,https://devpost.com/software/rhythm-game-18twij,4,0,0
24228,ridgehacks-2025,Gas Price Projection Estimator,Our project is a model that predicts gas prices using machine learning. Our project will allow people to know whether they are being charged the appropriate amount of gas.,https://devpost.com/software/gas-price-projection-estimater,4,0,0
24228,ridgehacks-2025,Next Stop,"This project is an informative game about different methods of transportation, It goes on a funny and enjoyable story that helps people learn about transportation.",https://devpost.com/software/next-stop-t89n7d,2,0,0
24228,ridgehacks-2025,Virtual Relaxation Airplane,a virtual airplane website that transports you to a relaxing place,https://devpost.com/software/virtual-relaxation-airplane,4,0,0
24228,ridgehacks-2025,Subway Rewards Program,Subway Rewards Program is a web application that helps keep the world a little bit more cleaner,https://devpost.com/software/subway-rewards-program,1,0,0
24228,ridgehacks-2025,FlyIt,An easy way to get from Point A to Point B. Use to find the fastest and easiest routes from any airport.,https://devpost.com/software/flyit,1,0,0
24228,ridgehacks-2025,Traffic dodger,this is a game where you dodge cars and collect coins,https://devpost.com/software/traffic-dodger,1,0,0
24228,ridgehacks-2025,Delivery Game,You deliver packages to the store before time runs out,https://devpost.com/software/delivery-game,1,0,0
24228,ridgehacks-2025,Transport of CRISPR Systems in Gene Editing for Sickle Cell,Simulation of editing the original mutation and examining effects and efficiency in the bloodstream.,https://devpost.com/software/transport-of-crispr-systems-in-gene-editing-for-sickle-cell,2,0,0
24228,ridgehacks-2025,CarMod,"CarMod is a website that allows you to input any car, and provides statistics and modifications for the specific car.",https://devpost.com/software/modmonkey,1,0,0
24228,ridgehacks-2025,Platformer Transporter,The game consists of two levels where the user controls the package (the white square) and tries to reach the golden block on the other side without touching the lava. The game also includes physics.,https://devpost.com/software/platformer-transporter,4,0,0
24228,ridgehacks-2025,Whispr,"An AI-assisted knowledge exchange platform where users leave behind like audio ""whispers"" (voice memos, thoughts, lessons, stories) that are tagged by location, mood, and topic",https://devpost.com/software/whispr-sf54tl,3,0,0
24228,ridgehacks-2025,Sheet Music Writer,Did you know the audio cortex of the brain is about the same size as the visual cortex. This project seeks to transport our understanding of music to a new dimension.,https://devpost.com/software/sheet-music-writer,1,0,0
24228,ridgehacks-2025,Fastest route finder,I created a GPS tracker which would find the fastest route to get from point A to point B. I also included a fun little easter egg,https://devpost.com/software/fastest-route-finder,1,0,0
24228,ridgehacks-2025,Traffy Data Collector,It collects traffic data.,https://devpost.com/software/transportation-traffic-data,1,0,0
24228,ridgehacks-2025,WasteWay,Track your trash with just one click!,https://devpost.com/software/wasteway,3,0,0
24228,ridgehacks-2025,Commute Carbon,Every Ride Counts Toward a Greener Future.,https://devpost.com/software/commute-carbon,4,1,0
