Hackathon	Hackathon Slug	Project Title	Project Description	Project Link	Participants Count	Likes	Comments	Gallery URL
Recess Hacks 5.0	recess-hacks-5-0	ForgeLink	Cold emails that warm up: from research to relationships.	https://devpost.com/software/forgelink	1	0	0	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	Chorely - Youth Freelancing	"Freelance for youth, made easy. In a time where youth unemployment is skyrocketing, Chorely helps teens find available work and get paid fast."	https://devpost.com/software/chorely-youth-freelancing	1	2	0	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	Responsibility	"is a fun, terminal based interactive way of learning finances through managing a business!"	https://devpost.com/software/responsibility-17h9pz	1	0	0	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	AutonoMeal	AutonoMeal: A gamified and personalized cooking app that teaches teens independence by helping them level up from simple meals to culinary confidence.	https://devpost.com/software/autonomeal	1	1	0	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	Taskify	"Stay on top of your tasks: prioritize, track, and prove completion all in one simple app."	https://devpost.com/software/taskify-4stjcx	1	4	0	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	First Step	"Small steps today, big independence tomorrow."	https://devpost.com/software/first-step-lf3k79	1	1	0	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	JobAI	A chat app with AI agents to help teens gain financial independence.	https://devpost.com/software/jobai	1	1	1	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	Aura	Aura - Accessible Urban Route Assistant - a mapping system for people with specific needs.	https://devpost.com/software/aura-vnm954	1	0	1	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	CardioAlert	"CardioAlert is a smart band that monitors heart rate, detects abnormalities, and sends GPS-based emergency alerts to contacts and services, ensuring faster response and saving lives."	https://devpost.com/software/cardioalert-dmlg6s	1	1	1	https://recess-hacks-5-0.devpost.com/project-gallery
Recess Hacks 5.0	recess-hacks-5-0	BHOOMI	"Bhoomi combines pH sensors and smart tech to analyze manure nutrients with precise fertilizer advice. It boosts yields, cuts costs, and ensures eco-friendly, sustainable farming practices."	https://devpost.com/software/bhoomi-fj7n3b	1	3	1	https://recess-hacks-5-0.devpost.com/project-gallery
DevHacks	devhacksasu	Sakhi	Empowering Minds with AI-Driven Mental Health Support.	https://devpost.com/software/sakhi-5drczt	1	4	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	ReThread	"Fast fashion is destroying our planet. Our AI-powered Chrome extension remedies this by suggesting affordable, high-quality secondhand alternatives from platforms like Grailed, Depop, and Poshmark."	https://devpost.com/software/rethread-ra36cq	1	1	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	COSMiQ	The ISS just got a sidekick	https://devpost.com/software/algonauts-38tuyg	1	1	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	AdaptED AI	"AdaptED AI is a smart digital tutor that personalizes learning with real-time help, adaptive feedback, and simplified lessons—making education accessible, engaging, and tailored to you"	https://devpost.com/software/adapted-ai-dcuvok	1	3	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	VocaLift	Finding Voices Beyond Words	https://devpost.com/software/vocalift	1	1	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Inflo	"AI-Powered Outreach: Instantly connect with your leads through smart automation, seamless calls, and effortless scheduling"	https://devpost.com/software/inflo-0kdhic	1	1	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	ShelfLife.ai - Track. Waste Less. Save More	"ShelfLife.ai helps households and retailers reduce food wastage, and increase savings by tracking expiry dates, offering smart recipes, and promoting affordable near-expiry grocery deals."	https://devpost.com/software/shelflife-ai-track-waste-less-save-more	1	0	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Renvue AI	AI powered investment marketplace	https://devpost.com/software/renvue	1	2	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	JobSnap	"Simplifies job hunting to a one-line message. Users get targeted job leads (title, company, link) instantly—no more manual searches or stale job boards."	https://devpost.com/software/jobsnap	1	0	0	https://devhacksasu.devpost.com/project-gallery
